SampleID,R1,R2,Group
G9,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G9/G9_1.fq.gz,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G9/G9_2.fq.gz,Group_1
G11,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G11/G11_1.fq.gz,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G11/G11_2.fq.gz,Group_1
G12,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G12/G12_1.fq.gz,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G12/G12_2.fq.gz,Group_1
G25,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G25/G25_1.fq.gz,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G25/G25_2.fq.gz,Group_1
G26,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G26/G26_1.fq.gz,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G26/G26_2.fq.gz,Group_1
G27,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G27/G27_1.fq.gz,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G27/G27_2.fq.gz,Group_1
G28,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G28/G28_1.fq.gz,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G28/G28_2.fq.gz,Group_2
G30,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G30/G30_1.fq.gz,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G30/G30_2.fq.gz,Group_2
G31,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G31/G31_1.fq.gz,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G31/G31_2.fq.gz,Group_2
G32,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G32/G32_1.fq.gz,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G32/G32_2.fq.gz,Group_2
G34,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G34/G34_1.fq.gz,/ix/drajasundaram/drajasundaram/Yeruva_lab/EukmRNAseq/usftp21.novogene.com/01.RawData/G34/G34_2.fq.gz,Group_2
